step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.0015571803378406912,0.051572173077147454,2.0781298130750656,0.0002930164403096569,,,,,,,
2000,0.0,0.0,0,0.00022002861078362912,0.053351687907706946,2.0780965462327003,9.753573925763703e-05,,,,,,,
3000,18.361344537815125,18.361344537815125,1,0.00021510858641704544,0.060563770472072065,2.078029341995716,0.00016809810030338213,,,,,,,
4000,10.894957983193276,18.361344537815125,2,-0.0007529343638452701,0.0009174664573947666,2.0779885798692703,3.247036931952607e-05,,,,,,,
5000,10.894957983193276,18.361344537815125,2,-0.0012979268794879317,0.054826212755870074,2.077711343765259,4.2279051967852865e-05,,,,,,,
6000,9.676245735069264,18.361344537815125,3,-0.0002306724272784777,0.0009699817128421273,2.0775764137506485,-1.1138412205013992e-05,,,,,,,
7000,9.072414837961055,18.361344537815125,4,-0.0011328900145599619,0.053799894463736564,2.077557295560837,-4.84532062046128e-05,,,,,,,
8000,7.257931870368845,18.361344537815125,5,-0.0011182549642398953,0.001065156802724232,2.0774884149432182,2.618267251364159e-05,,,,,,,
9000,7.257931870368845,18.361344537815125,5,-0.0004866301460424438,0.025455432973103598,2.0772819072008133,1.212586238352742e-05,,,,,,,
10000,7.257931870368845,18.361344537815125,5,0.00040152684050553944,0.02497068009688519,2.0773254856467247,-1.904224615145722e-05,,,,,,,
11000,7.203209508832274,18.361344537815125,6,0.00012838791008107364,0.000720814820851956,2.0773048251867294,-5.2015523465342994e-05,,,,,,,
12000,7.203209508832274,18.361344537815125,6,-0.0009160388435702771,0.07298669801093638,2.077301375567913,1.1928322237508837e-05,,,,,,,
13000,7.659440349974149,18.361344537815125,7,-0.00012923659232910722,0.025891453798976727,2.077317491173744,-2.2003189656061295e-05,,,,,,,
14000,7.659440349974149,18.361344537815125,7,-0.0008687112422194332,0.025039241343620233,2.0773548409342766,6.39095521961508e-05,,,,,,,
15000,8.019443256418953,18.361344537815125,8,-0.00010531514999456704,0.027559021313209087,2.07745461165905,7.583509318465076e-05,,,,,,,
