step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.00033832241024356335,0.00037101081215951126,2.0781101286411285,7.3248002081527375e-06,,,,,,,
2000,0.0,0.0,0,-0.0006695819593005581,0.0003253112172387773,2.0780848637223244,7.440698095706466e-05,,,,,,,
3000,0.0,0.0,1,-0.0006320070970105007,0.0002941744201052643,2.0778947100043297,4.5676747618017544e-05,,,,,,,
4000,5.285714285714286,5.285714285714286,2,0.00021713432215619832,0.11881337338127196,2.0776364281773567,0.0001276455435004209,,,,,,,
5000,5.285714285714286,5.285714285714286,2,-0.000540800581802614,0.014823153302131686,2.0773824229836464,9.407704357400348e-05,,,,,,,
6000,5.285714285714286,5.285714285714286,2,-8.93864780664444e-05,0.04234206784167327,2.0773245990276337,0.00013098051167048652,,,,,,,
7000,6.9365388858246,6.9365388858246,3,0.00031602109083905816,0.02015567955095321,2.0773519426584244,0.0001336568425074347,,,,,,,
8000,6.9365388858246,6.9365388858246,3,-0.0007301442819880322,0.0003844293564725376,2.077342927455902,0.00011666798320675298,,,,,,,
9000,6.592681942146228,6.9365388858246,4,-0.0005091459315735847,0.06872449061484076,2.077155664563179,4.162135314800253e-05,,,,,,,
10000,6.592681942146228,6.9365388858246,4,-0.0010316278712707572,0.05535518683609553,2.077238991856575,-2.034564788289117e-05,,,,,,,
11000,6.297222476793905,6.9365388858246,5,-0.0005342074364307337,0.009585658073774539,2.0772415846586227,9.556071769623031e-05,,,,,,,
12000,6.297222476793905,6.9365388858246,5,8.826115117699374e-05,0.07837200938956812,2.0771956965327263,-9.376414951134393e-06,,,,,,,
13000,6.297222476793905,6.9365388858246,5,0.0006324125861283392,0.10909394267946482,2.077097825706005,3.415753212721029e-06,,,,,,,
14000,8.274089792153703,8.274089792153703,6,-0.00040739253745414317,0.06836766297055874,2.076991155743599,1.1456201775672525e-05,,,,,,,
15000,8.111918234544444,8.274089792153703,7,1.7267731891479343e-05,0.006434007053030655,2.0770949870347977,5.3854156931265607e-05,,,,,,,
16000,8.111918234544444,8.274089792153703,7,-0.00032830520649440587,0.07065513217821717,2.0770048573613167,5.4994405445540906e-05,,,,,,,
17000,7.8199558942507785,8.274089792153703,8,-0.00044425482337828726,0.0011406595149310306,2.0769434347748756,3.473342544058067e-05,,,,,,,
18000,7.39948460441339,8.274089792153703,9,-0.000461804389487952,0.03484385012416169,2.0770281329751015,2.281592324493431e-05,,,,,,,
19000,6.65953614397205,8.274089792153703,10,-0.0007745501061435789,0.000991601556961541,2.077047638595104,3.1729739316865846e-05,,,,,,,
20000,6.65953614397205,8.274089792153703,10,-0.0008045741415116936,0.0008016921292437473,2.077244132757187,-9.640368098473573e-06,,,,,,,
21000,6.65953614397205,8.274089792153703,11,-0.0008071882693911903,0.0008730357931199251,2.077163018286228,1.3369947851060715e-05,,,,,,,
22000,6.65953614397205,8.274089792153703,11,-0.000226682546781376,0.08745731264934875,2.077132448554039,-1.2168471528184455e-06,,,,,,,
23000,6.65953614397205,8.274089792153703,11,-0.0005930170591454953,0.0007853104943933431,2.0771638602018356,3.0791495930770907e-07,,,,,,,
24000,6.65953614397205,8.274089792153703,11,7.003735299804248e-05,0.0007439662367687561,2.077326498925686,1.9307372333798867e-05,,,,,,,
25000,6.228774239210146,8.274089792153703,12,-0.0006945534005353693,0.06767668493557721,2.0772503465414047,-5.456113086665937e-06,,,,,,,
26000,6.228774239210146,8.274089792153703,12,-0.0009308921726187691,0.0007746432020212524,2.077058471739292,-4.793455701701532e-06,,,,,,,
27000,5.76131906696926,8.274089792153703,13,-2.944984589703381e-05,0.0007544933141616639,2.077172890305519,-6.3809381103396845e-06,,,,,,,
28000,5.205207955858148,8.274089792153703,14,-0.0005463249941612958,0.0008570991667511407,2.0772770047187805,2.196234788698348e-06,,,,,,,
29000,5.205207955858148,8.274089792153703,14,-0.0002747940015979111,0.0006154150441943784,2.0772864148020744,-2.3010355878483324e-05,,,,,,,
30000,4.693669494319687,8.274089792153703,15,-0.0002864370108000003,0.0007764094098092755,2.077248230576515,2.0045455073613994e-07,,,,,,,
31000,3.5178268574244185,8.274089792153703,16,-0.00013313969247974455,0.11731125426013023,2.0772150680422783,-2.541012596779524e-06,,,,,,,
32000,3.5178268574244185,8.274089792153703,16,-0.00021318087237887084,0.0007118350295058917,2.0772360488772392,2.027429260920144e-05,,,,,,,
33000,3.5178268574244185,8.274089792153703,16,-0.0007961791707202792,0.000704433667124249,2.0772626027464867,-6.520475324123254e-07,,,,,,,
34000,3.7376988859806572,8.274089792153703,17,-4.460540549189318e-05,0.07226646738126874,2.0773294493556023,3.5126724498013573e-06,,,,,,,
35000,3.7376988859806572,8.274089792153703,17,-0.00017265877249883488,0.0006356839166983264,2.0771355107426643,-4.698776621125944e-06,,,,,,,
36000,3.723351680367066,8.274089792153703,18,0.0002678984674275853,0.06662482081446797,2.077366925776005,5.150331190861834e-06,,,,,,,
37000,3.723351680367066,8.274089792153703,18,0.0003862989542540163,0.0460815453552641,2.077298954129219,3.248855488635627e-06,,,,,,,
38000,3.723351680367066,8.274089792153703,18,-0.0002501600538380444,0.04240244584798347,2.07724279910326,-7.85038838557739e-06,,,,,,,
39000,3.723351680367066,8.274089792153703,18,0.00010527277481742203,0.0625314807984978,2.0771769359707832,-2.3769226174863434e-05,,,,,,,
40000,4.785784247799634,8.274089792153703,19,0.00021246651886031032,0.0008460373665002408,2.077220804989338,1.3661964572975194e-06,,,,,,,
41000,4.785784247799634,8.274089792153703,20,-0.00023479816445615143,0.0008323921247210819,2.0773026943206787,2.0556889879230766e-07,,,,,,,
42000,4.785784247799634,8.274089792153703,20,0.00043440367153380066,0.09498724935110658,2.077285833656788,-1.5976477494294983e-06,,,,,,,
43000,4.785784247799634,8.274089792153703,20,-0.00012302593677304685,0.043963267700746655,2.077219784259796,-1.4773458190120436e-07,,,,,,,
44000,4.785784247799634,8.274089792153703,20,-0.0002693613350857049,0.0722288770484738,2.0771642848849297,-7.39763271440097e-06,,,,,,,
45000,6.719165509216877,8.274089792153703,21,-0.0003923078620573506,0.02825411428057123,2.077250175178051,1.576582229745327e-05,,,,,,,
46000,6.458001948140273,8.274089792153703,22,-0.000331663090037182,0.0008667916245030938,2.0773191824555397,1.5544288548330343e-05,,,,,,,
47000,6.194094791467158,8.274089792153703,23,-0.0007498721533920616,0.01814759025000967,2.0772266015410423,-8.746889072597241e-06,,,,,,,
48000,6.194094791467158,8.274089792153703,24,-0.00016736314864829183,0.000753733253077371,2.0773534923791885,-4.484318644415453e-06,,,,,,,
49000,6.194094791467158,8.274089792153703,24,0.0009707979334052652,0.0006615734964725561,2.077405124902725,-2.210563032178925e-06,,,,,,,
50000,6.74967373883558,8.274089792153703,25,-0.00021864939117222093,0.19270011992193758,2.077324368059635,-1.4030281420218671e-05,,,,,,,
51000,6.74967373883558,8.274089792153703,25,0.00010889930126722902,0.028767193900421262,2.077231250703335,2.085100325643907e-05,,,,,,,
52000,6.74967373883558,8.274089792153703,25,-0.0007372571199084632,0.052704660018207505,2.07738383859396,3.7962638685939964e-06,,,,,,,
53000,8.039751577663418,8.274089792153703,26,0.0005765741807408631,0.0008886877167242346,2.077278710901737,8.946141125676377e-07,,,,,,,
54000,7.716704945932577,8.274089792153703,27,-0.00032283394830301404,0.07143000527867116,2.0773293003439903,7.948479932906594e-06,,,,,,,
55000,7.716704945932577,8.274089792153703,27,-0.00019593779870774597,0.06192460402962752,2.077333189547062,-7.26412032747703e-07,,,,,,,
56000,7.716704945932577,8.274089792153703,27,0.0010284810123266652,0.1274478513514623,2.0772313848137856,1.3817027367579726e-05,,,,,,,
57000,7.716704945932577,8.274089792153703,27,0.00027961017622146755,0.0008418530105700484,2.077253609895706,1.8748373179278133e-05,,,,,,,
58000,7.716704945932577,8.274089792153703,27,-0.00037190268631093204,0.12180565833114088,2.0772959515452385,1.8913491173222496e-07,,,,,,,
59000,9.842471893927174,9.842471893927174,28,0.0006087277724873275,0.001165068559203064,2.0772502720355988,2.451369925893232e-05,,,,,,,
60000,9.842471893927174,9.842471893927174,28,-0.00038904472603462636,0.0008145970969053451,2.077247768640518,2.9983291144120017e-05,,,,,,,
61000,8.9229919620943,9.842471893927174,29,-0.00042721052886918187,0.06362231296952814,2.077221818268299,-7.307034954884273e-06,,,,,,,
62000,9.534103073205412,9.842471893927174,30,0.0002319273553439416,0.07816196780186146,2.077222630381584,1.0158528027659486e-05,,,,,,,
