step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
17000,334.375,334.375,8,-0.0009485086276462036,1.0626635801579272,1.9920858857887132,0.0002450188690740366,,,,,,,
18000,323.1111111111111,334.375,9,-0.00039222494940206943,0.9394927722002778,1.9874465380396162,0.00017990187273296345,,,,,,,
19000,323.1111111111111,334.375,9,-0.00030267009632163014,0.8177224418946675,1.9931952889476503,0.00011018017015170958,,,,,,,
20000,314.4,334.375,10,-0.0006293308355712465,0.8759218717792204,1.9863358438014984,5.599454413591458e-05,,,,,,,
21000,314.4,334.375,10,-0.0005507138682462807,1.2334049930796027,1.9913542387740952,-0.00010965727774094245,,,,,,,
22000,314.4,334.375,10,-0.0008036358101110506,0.7512906394632799,1.9809783292668206,7.53974347519813e-05,,,,,,,
23000,357.1,357.1,11,-0.0008091244017123245,0.774000725841948,1.9856102573020118,-0.00011147384364156616,,,,,,,
24000,357.1,357.1,11,-2.8699540832479086e-05,1.041136956108468,1.9855118617415428,3.224117636234171e-05,,,,,,,
25000,361.7,361.7,12,-0.0005788514390587807,1.0834626431709953,1.984013089111873,8.592449791779342e-05,,,,,,,
26000,361.7,361.7,12,-0.0004877876407200737,1.0302079553117178,1.9829551705292292,0.000149964463665648,,,,,,,
27000,341.0,361.7,13,-0.000308757542890297,1.1359930227377586,1.979292780160904,0.00019133390216146445,,,,,,,
28000,334.2,361.7,14,0.00028551844713677255,1.0032288814628763,1.9798030789409364,0.00012435662837820667,,,,,,,
29000,338.1,361.7,15,-0.00041641267353043077,1.0215580517958318,1.9786558491843087,7.198985304057715e-05,,,,,,,
30000,344.8,361.7,16,-0.0004446270738428991,1.1586767129067863,1.9770570823124476,8.173344096056618e-05,,,,,,,
31000,314.4,361.7,17,-0.00026855143732973374,0.7010104769973883,1.9702985829540662,-4.80788667768398e-05,,,,,,,
32000,314.4,361.7,17,-0.00043468071037620703,0.9931688569486141,1.980389165026801,4.566636260960877e-05,,,,,,,
33000,314.4,361.7,17,-0.00024160014748174165,1.2607556657333459,1.9808431693485804,6.803956627468974e-05,,,,,,,
34000,325.8,361.7,18,-0.0003524606321921705,0.8011180574872664,1.9783074813229697,0.0001666368316039422,,,,,,,
35000,325.8,361.7,18,-0.00048764468686256023,1.1786946303078107,1.9792749945606505,4.258885652624096e-05,,,,,,,
36000,331.9,361.7,19,-0.000987459668457242,1.020063282655818,1.971292448895318,0.00023474281259236056,,,,,,,
37000,329.3,361.7,20,-0.00038056755615148826,0.8726419932874185,1.973077834716865,0.00017602527626487636,,,,,,,
38000,292.8,361.7,21,-0.000818030067291277,1.1306026550009847,1.9804712704249792,-1.8948935901010244e-05,,,,,,,
39000,292.8,361.7,21,-0.00046363339580628756,1.273459116263049,1.9727539835231644,-2.0303169053801995e-05,,,,,,,
40000,301.2,361.7,22,-0.0006062604788894532,1.1584241023021085,1.9761267102190427,0.00011701700406417461,,,,,,,
41000,301.2,361.7,22,-0.000634427295673439,0.7569022263134164,1.9765529472913062,0.0001038885496151514,,,,,,,
42000,306.1,361.7,23,-0.0002876762051268348,0.6965243630111217,1.9757506304553576,0.0001186436440840615,,,,,,,
43000,306.1,361.7,23,1.445359001601381e-05,0.7578744050115347,1.9832876367228371,5.373013721055031e-05,,,,,,,
44000,306.1,361.7,23,8.663915715650157e-05,0.615353403080787,1.985313963677202,0.00012900647518319732,,,,,,,
45000,306.1,361.7,23,-0.00012459427983100926,0.6520357664142337,1.9856381501470293,7.058201448931609e-05,,,,,,,
46000,326.4,361.7,24,-2.6256974836412284e-05,0.6511821269855967,1.9904285711901528,0.00016741195568264238,,,,,,,
47000,326.4,361.7,24,-0.0009768927536372627,1.047035534467016,1.992893137037754,-3.540727784314056e-05,,,,,,,
48000,326.4,361.7,24,-0.00021292183061762313,0.7460904647928795,1.9849410067711557,8.482129073935798e-05,,,,,,,
49000,326.4,361.7,24,0.00013816005645951788,0.4711713513159858,1.9819719982998711,0.00025330302811913237,,,,,,,
