step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.00463292258583741,0.6946102402697372,2.074232456939561,0.004527709888212225,,,,,,,
2000,214.0,214.0,1,-0.0015949816505391417,0.6352326102953937,2.069652423262596,0.00121497295223045,,,,,,,
3000,214.0,214.0,1,-0.002705566431229402,0.590067637419062,2.061782025865146,0.00225170123920699,,,,,,,
4000,250.5,250.5,2,-0.0023232673328103764,0.54024444991124,2.0522715534482683,0.0015498437511983606,,,,,,,
5000,216.0,250.5,3,-0.0018840239676397427,0.5743766583701861,2.0447114535740445,0.0016940829209488584,,,,,,,
6000,216.0,250.5,3,-0.0016227470498831411,0.8626371608365194,2.0291420529995645,0.001707302670183708,,,,,,,
7000,248.75,250.5,4,-0.00227509717556781,0.5279600398581741,2.0236772128513882,0.0015728785681078858,,,,,,,
8000,248.75,250.5,4,-0.0015950435003365523,0.7359666093252599,2.032507859170437,0.0015363526910009892,,,,,,,
9000,256.0,256.0,5,-0.0019806028223164113,0.7358509935272325,2.032486391919,0.0008863260225423021,,,,,,,
10000,256.0,256.0,5,-0.0008939600624476693,0.8439223993835705,2.0315490450177873,0.0014730114466406771,,,,,,,
11000,256.0,256.0,5,-0.0010171430367336143,0.7398466528725943,2.017340765467712,0.0014307142895566877,,,,,,,
12000,276.0,276.0,6,-0.002685900460034775,0.7313500095957092,2.011072405747005,0.0017322144698742445,,,,,,,
13000,276.0,276.0,6,-0.0010342147600437915,0.6614534528427092,2.0101931680526053,0.00020713054034006615,,,,,,,
14000,292.85714285714283,292.85714285714283,7,-0.00036653146837904515,0.7376666850011263,2.0111632889934947,4.419045678462551e-05,,,,,,,
15000,292.85714285714283,292.85714285714283,7,-0.001234261314883562,0.8165290365993444,2.023257407758917,0.00044423601730159135,,,,,,,
16000,285.875,292.85714285714283,8,-0.0007084116056960608,0.6607546173701329,2.0160601532885005,9.445964613925233e-05,,,,,,,
17000,274.3333333333333,292.85714285714283,9,-0.0005497078662821357,0.7184636984020472,2.0188403938497816,0.0003663815046560818,,,,,,,
18000,265.9,292.85714285714283,10,-0.00024238924275518263,0.8312583884024727,2.021578377911023,0.0004582015227794857,,,,,,,
19000,265.9,292.85714285714283,10,-5.508288242188948e-05,0.9667246554579053,2.023849190345832,3.232916008398336e-05,,,,,,,
20000,265.9,292.85714285714283,10,-0.00055611239960334,0.8000914781753506,2.019293101770537,0.0001241500635273951,,,,,,,
21000,265.9,292.85714285714283,10,-0.00020061079911621555,0.5208218217594549,2.0207360237836838,0.00018382323950001073,,,,,,,
22000,265.9,292.85714285714283,10,-9.918156112170047e-05,0.5088181021856144,2.0244032612868716,0.00015952843918398685,,,,,,,
23000,303.6,303.6,11,0.00021591841401199678,0.39581490653966156,2.023802600800991,-4.8331054163749544e-05,,,,,,,
24000,303.6,303.6,11,-0.0003211043235101637,0.639036409956004,2.0276411452463696,-7.418889840339813e-05,,,,,,,
25000,290.5,303.6,12,-0.00017622467463037798,0.7031812387950984,2.0304290503263474,7.348415854429342e-05,,,,,,,
26000,301.6,303.6,13,5.460655925812067e-05,0.7991335462512714,2.028406256011554,0.00011898382397695124,,,,,,,
27000,285.0,303.6,14,-0.0003242911646209125,0.7845390171610883,2.028126203588077,0.0002510612669409186,,,,,,,
28000,285.0,303.6,14,9.853146912064403e-05,0.7428776945120522,2.0221775344439914,9.721753657946206e-05,,,,,,,
29000,285.8,303.6,15,-0.0006567764053865435,0.5817950422476444,2.0235149413347244,-5.209102425851597e-06,,,,,,,
