step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.00024494942044839263,0.025271750462707132,2.077760547399521,0.00033529054816483495,,,,,,,
2000,3.4688057040998217,3.4688057040998217,1,-0.0017133803485194221,0.00029505629936465994,2.077826328575611,-0.00010650907552189892,,,,,,,
3000,3.483279761304179,3.483279761304179,2,-0.0005904208010178991,0.02641957125160843,2.077859476208687,9.921605641238784e-05,,,,,,,
4000,4.704985051087351,4.704985051087351,3,-0.00034495542058721185,0.04838791908696294,2.0778915509581566,-1.309388736103756e-05,,,,,,,
5000,4.704985051087351,4.704985051087351,3,-0.0009437916014576331,0.026582207894534804,2.0779161155223846,0.00018305997497236604,,,,,,,
6000,4.704985051087351,4.704985051087351,3,-0.0015689166175434366,0.0006452890511354781,2.0779252499341965,0.00034711667331066565,,,,,,,
7000,5.318024502601228,5.318024502601228,4,0.00038174045039340854,0.05284041911363602,2.0779485255479813,0.00029798303327766007,,,,,,,
8000,5.318024502601228,5.318024502601228,4,-0.0007730006054771366,0.0007606431590829743,2.077969051897526,0.0001127697894389712,,,,,,,
9000,4.954419602080982,5.318024502601228,5,-0.0006941808605915867,0.0005497000529430807,2.077751509845257,0.00022238126575757633,,,,,,,
10000,4.954419602080982,5.318024502601228,5,0.0001817526645027101,0.08017188345547765,2.0776293948292732,-8.435340750878595e-05,,,,,,,
11000,4.954419602080982,5.318024502601228,5,-0.0010563317337073386,0.0010793516612466192,2.0775531381368637,8.70990043040365e-05,,,,,,,
12000,5.87699950005065,5.87699950005065,6,-0.0001153405464719981,0.022530428919708356,2.0774727016687393,6.36055385285772e-05,,,,,,,
13000,5.479430584903,5.87699950005065,7,-0.00013104726531310007,0.0254842123540584,2.077382117509842,1.0415084403803121e-05,,,,,,,
14000,5.479430584903,5.87699950005065,7,-0.0006167465617181733,0.0006727454210704309,2.077441580593586,0.00010789014152123855,,,,,,,
15000,5.227835095123457,5.87699950005065,8,-0.001066073717083782,0.02738774460158311,2.077530115842819,3.9080738929442305e-06,,,,,,,
