step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.000908682428416796,0.05925934438710101,2.0781098902225494,0.00073412313827248,,,,,,,
2000,0.0,0.0,0,-0.0006631669675698504,0.0386936852009967,2.0780301243066788,0.00017791356976459838,,,,,,,
3000,0.0,0.0,0,-0.00018392510901321657,0.1079620597884059,2.07778812199831,5.040532676048315e-05,,,,,,,
4000,19.83066691762344,19.83066691762344,1,-0.0008845359261613339,0.001395488116031629,2.0775183513760567,0.0005006025590432728,,,,,,,
5000,9.91533345881172,19.83066691762344,2,-0.001839120675867889,0.0008233430035033962,2.0772857666015625,6.090484623655357e-05,,,,,,,
6000,9.91533345881172,19.83066691762344,2,-0.0006938973656360758,0.0005836820564582013,2.076901227235794,-1.5460630152119847e-05,,,,,,,
7000,6.61022230587448,19.83066691762344,3,-0.0006096498982515186,0.00048278453959937906,2.076714590191841,2.6162428667930726e-05,,,,,,,
8000,4.95766672940586,19.83066691762344,4,-0.001023626209644135,0.00046104615330477827,2.0762571170926094,-0.00010124217655516077,,,,,,,
9000,4.95766672940586,19.83066691762344,4,-0.000892197189386934,0.05704428470926359,2.076111674308777,-0.00010450824424879102,,,,,,,
10000,4.966133383524688,19.83066691762344,5,-0.0009641495998948812,0.00047179337252600817,2.0758639946579933,0.00010868830622712267,,,,,,,
11000,4.138444486270573,19.83066691762344,6,-0.001071946695446968,0.0003800505346589489,2.075805000960827,-5.617488238840451e-05,,,,,,,
12000,3.547238131089063,19.83066691762344,7,-0.0012966526119271293,0.0003864501413772814,2.0757066756486893,-0.00012080374193601529,,,,,,,
13000,3.547238131089063,19.83066691762344,7,-0.0012783495767507702,0.0003360197115398478,2.074791021645069,4.78769209166785e-06,,,,,,,
14000,3.10383336470293,19.83066691762344,8,-0.00035141828720952617,0.0644301479915157,2.0746759101748466,0.00013582060945793728,,,,,,,
15000,4.635478142362199,19.83066691762344,9,-0.0003674919717013836,0.08930008043535054,2.075068823993206,-0.00013192860922117688,,,,,,,
16000,4.635478142362199,19.83066691762344,9,-0.0015250562719302252,0.07522899541072547,2.07462490350008,0.00022383319401342305,,,,,,,
17000,5.129073185268837,19.83066691762344,10,-0.0010135583361261524,0.0012803368172171758,2.073949873447418,0.00015239311608183925,,,,,,,
18000,5.129073185268837,19.83066691762344,10,-0.0016169089522009017,0.0006926942423888249,2.07324405759573,0.00023730338443783694,,,,,,,
19000,3.1460064935064933,19.83066691762344,11,-0.0011738511675503105,0.0006586260515177855,2.0728573948144913,0.00020744708785969124,,,,,,,
20000,3.1460064935064933,19.83066691762344,12,-0.0018254997848998755,0.0005396384885898442,2.072334937751293,-0.00015464244552276796,,,,,,,
21000,3.1460064935064933,19.83066691762344,12,0.0001931569422595203,0.04666806881141383,2.069964773952961,-0.0002166869368238622,,,,,,,
22000,3.1460064935064933,19.83066691762344,12,-0.0010776344570331275,0.0004924263703287579,2.069834142923355,0.00012183465074144806,,,,,,,
23000,3.6066314935064936,19.83066691762344,13,-0.0026983017596649006,0.0005299830036165076,2.072333000600338,-0.00011763652878471476,,,,,,,
24000,3.6066314935064936,19.83066691762344,13,-0.0008790566498646513,0.05615440959809348,2.07315706461668,-2.6733836762105057e-05,,,,,,,
25000,4.12407335397161,19.83066691762344,14,-0.0008147493281285278,0.000622231995293987,2.073499396443367,5.299583343365555e-05,,,,,,,
26000,4.023485118677492,19.83066691762344,15,-0.0014526761806337163,0.03415662801126018,2.071913778781891,-0.0001852838665854506,,,,,,,
27000,4.023485118677492,19.83066691762344,15,-0.0017964160424526199,0.0005561287962336792,2.070761799812317,6.909937985710712e-05,,,,,,,
28000,4.023485118677492,19.83066691762344,15,-0.0014775794552406296,0.0004410826204548357,2.0682078301906586,-0.00014792467328561543,,,,,,,
29000,4.023485118677492,19.83066691762344,16,-0.0005876532804904855,0.07454137608874589,2.0676284953951836,0.00032679040441507823,,,,,,,
30000,5.233485118677492,19.83066691762344,17,-0.0005575102695729584,0.14352014171890914,2.067275397479534,9.558010742694023e-05,,,,,,,
31000,5.233485118677492,19.83066691762344,17,-0.0008028888478293084,0.04952615807997063,2.0681482180953026,-0.0001227397007141917,,,,,,,
32000,6.930826388518762,19.83066691762344,18,-0.002485243712726515,0.058436269784579054,2.068683333694935,-0.00012868882231487078,,,,,,,
