step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.00026104398421011865,0.025259993562940508,2.077761121094227,0.00033807421233689183,,,,,,,
2000,3.4688057040998217,3.4688057040998217,1,-0.001554386835778132,0.0003223357543902239,2.0778116658329964,3.5861188280250644e-05,,,,,,,
3000,3.4688057040998217,3.4688057040998217,1,-0.00042877231317106634,0.026711796672316268,2.0777831226587296,0.00026121673863599426,,,,,,,
4000,5.2462503358653585,5.2462503358653585,2,-0.000312099826260237,0.025506569421850145,2.0776142477989197,8.360988886124687e-05,,,,,,,
5000,5.2462503358653585,5.2462503358653585,2,-0.001492382027208805,0.0002555669375396974,2.0775396525859833,0.0003224782071811205,,,,,,,
6000,4.666197160049036,5.2462503358653585,3,-0.0012756404612446204,0.12386097782291472,2.0772779509425163,0.00028387914983341034,,,,,,,
7000,7.006592314481221,7.006592314481221,4,-0.001498126977821812,0.07882802304811776,2.0769199281930923,4.9306784717373375e-06,,,,,,,
8000,7.7274960738072,7.7274960738072,5,-0.001981730165425688,0.002228432633273769,2.076484739780426,0.0007085597696914192,,,,,,,
9000,7.7274960738072,7.7274960738072,5,-0.0015238480700645596,0.0010529678966122447,2.0764090195298195,0.000500998269444608,,,,,,,
10000,6.439580061506,7.7274960738072,6,0.00027987902285531163,0.026010154411778785,2.0766777098178864,2.2799614498580922e-05,,,,,,,
11000,6.519095835032354,7.7274960738072,7,-0.0008113168387353653,0.05041720229201019,2.0766754895448685,0.00014382316911110138,,,,,,,
12000,6.519095835032354,7.7274960738072,7,3.4400291042402387e-06,0.0009818015660130186,2.0765953585505486,0.00010528098854933887,,,,,,,
13000,7.041870354361318,7.7274960738072,8,-0.0013987523852847517,0.05040073744021356,2.076565884053707,0.00013551022107094468,,,,,,,
14000,7.041870354361318,7.7274960738072,8,-0.001018234179355204,0.0011744200874090893,2.076532833278179,0.0002158074205453886,,,,,,,
15000,6.259440314987838,7.7274960738072,9,-0.0003384590963833034,0.02575968808378093,2.0767402052879333,4.080758026248077e-05,,,,,,,
